"Publisher" "Journal.name" "Abbreviation" "ISSN" "URL" "Start.Date" "Citation.Style"
"36" "BioMed Central Ltd" "BMC Developmental Biology" "BMC Dev Biol" "1471-213X" "http://www.biomedcentral.com/bmcdevbiol/" 2001 "BIOMEDCENTRAL"
"37" "BioMed Central Ltd" "BMC Ear, Nose and Throat Disorders" "BMC Ear Nose Throat Disord" "1472-6815" "http://www.biomedcentral.com/bmcearnosethroatdisord/" 2001 "BIOMEDCENTRAL"
"38" "BioMed Central Ltd" "BMC Ecology" "BMC Ecol" "1472-6785" "http://www.biomedcentral.com/bmcecol/" 2001 "BIOMEDCENTRAL"
"39" "BioMed Central Ltd" "BMC Emergency Medicine" "BMC Emerg Med" "1471-227X" "http://www.biomedcentral.com/bmcemergmed/" 2001 "BIOMEDCENTRAL"
"40" "BioMed Central Ltd" "BMC Endocrine Disorders" "BMC Endocr Disord" "1472-6823" "http://www.biomedcentral.com/bmcendocrdisord/" 2001 "BIOMEDCENTRAL"
"41" "BioMed Central Ltd" "BMC Evolutionary Biology" "BMC Evol Biol" "1471-2148" "http://www.biomedcentral.com/bmcevolbiol/" 2001 "BIOMEDCENTRAL"
"42" "BioMed Central Ltd" "BMC Family Practice" "BMC Fam Pract" "1471-2296" "http://www.biomedcentral.com/bmcfampract/" 2000 "BIOMEDCENTRAL"
"43" "BioMed Central Ltd" "BMC Gastroenterology" "BMC Gastroenterol" "1471-230X" "http://www.biomedcentral.com/bmcgastroenterol/" 2001 "BIOMEDCENTRAL"
"44" "BioMed Central Ltd" "BMC Genetics" "BMC Genet" "1471-2156" "http://www.biomedcentral.com/bmcgenet/" 2000 "BIOMEDCENTRAL"
"45" "BioMed Central Ltd" "BMC Genomics" "BMC Genomics" "1471-2164" "http://www.biomedcentral.com/bmcgenomics/" 2000 "BIOMEDCENTRAL"
"46" "BioMed Central Ltd" "BMC Geriatrics" "BMC Geriatr" "1471-2318" "http://www.biomedcentral.com/bmcgeriatr/" 2001 "BIOMEDCENTRAL"
"47" "BioMed Central Ltd" "BMC Health Services Research" "BMC Health Serv Res" "1472-6963" "http://www.biomedcentral.com/bmchealthservres/" 2001 "BIOMEDCENTRAL"
"48" "BioMed Central Ltd" "BMC Hematology" "BMC Hematol" "2052-1839" "http://biomedcentral.com/bmchematol/" 2001 "BIOMEDCENTRAL"
"49" "BioMed Central Ltd" "BMC Immunology" "BMC Immunol" "1471-2172" "http://www.biomedcentral.com/bmcimmunol/" 2000 "BIOMEDCENTRAL"
"50" "BioMed Central Ltd" "BMC Infectious Diseases" "BMC Infect Dis" "1471-2334" "http://www.biomedcentral.com/bmcinfectdis/" 2001 "BIOMEDCENTRAL"
"51" "BioMed Central Ltd" "BMC International Health and Human Rights" "BMC Int Health Hum Rights" "1472-698X" "http://www.biomedcentral.com/bmcinthealthhumrights/" 2001 "BIOMEDCENTRAL"
"52" "BioMed Central Ltd" "BMC Medical Education" "BMC Med Educ" "1472-6920" "http://www.biomedcentral.com/bmcmededuc/" 2001 "BIOMEDCENTRAL"
"53" "BioMed Central Ltd" "BMC Medical Ethics" "BMC Med Ethics" "1472-6939" "http://www.biomedcentral.com/bmcmedethics/" 2000 "BIOMEDCENTRAL"
"54" "BioMed Central Ltd" "BMC Medical Genetics" "BMC Med Genet" "1471-2350" "http://www.biomedcentral.com/bmcmedgenet/" 2000 "BIOMEDCENTRAL"
"55" "BioMed Central Ltd" "BMC Medical Genomics" "BMC Med Genomics" "1755-8794" "http://www.biomedcentral.com/bmcmedgenomics/" 2008 "BIOMEDCENTRAL"
"56" "BioMed Central Ltd" "BMC Medical Imaging" "BMC Med Imaging" "1471-2342" "http://www.biomedcentral.com/bmcmedimaging/" 2001 "BIOMEDCENTRAL"
"57" "BioMed Central Ltd" "BMC Medical Informatics and Decision Making" "BMC Med Inform Decis Mak" "1472-6947" "http://www.biomedcentral.com/bmcmedinformdecismak/" 2001 "BIOMEDCENTRAL"
"58" "BioMed Central Ltd" "BMC Medical Physics" "BMC Med Phys" "1756-6649" "http://www.biomedcentral.com/bmcmedphys/" 2001 "BIOMEDCENTRAL"
"59" "BioMed Central Ltd" "BMC Medical Research Methodology" "BMC Med Res Methodol" "1471-2288" "http://www.biomedcentral.com/bmcmedresmethodol/" 2001 "BIOMEDCENTRAL"
"60" "BioMed Central Ltd" "BMC Medicine" "BMC Med" "1741-7015" "http://www.biomedcentral.com/bmcmed/" 2003 "BIOMEDCENTRAL"
"61" "BioMed Central Ltd" "BMC Microbiology" "BMC Microbiol" "1471-2180" "http://www.biomedcentral.com/bmcmicrobiol/" 2001 "BIOMEDCENTRAL"
"62" "BioMed Central Ltd" "BMC Molecular Biology" "BMC Mol Biol" "1471-2199" "http://www.biomedcentral.com/bmcmolbiol/" 2000 "BIOMEDCENTRAL"
"63" "BioMed Central Ltd" "BMC Musculoskeletal Disorders" "BMC Musculoskelet Disord" "1471-2474" "http://www.biomedcentral.com/bmcmusculoskeletdisord/" 2000 "BIOMEDCENTRAL"
"64" "BioMed Central Ltd" "BMC Nephrology" "BMC Nephrol" "1471-2369" "http://www.biomedcentral.com/bmcnephrol/" 2000 "BIOMEDCENTRAL"
"65" "BioMed Central Ltd" "BMC Neurology" "BMC Neurol" "1471-2377" "http://www.biomedcentral.com/bmcneurol/" 2001 "BIOMEDCENTRAL"
"66" "BioMed Central Ltd" "BMC Neuroscience" "BMC Neurosci" "1471-2202" "http://www.biomedcentral.com/bmcneurosci/" 2000 "BIOMEDCENTRAL"
"67" "BioMed Central Ltd" "BMC Nursing" "BMC Nurs" "1472-6955" "http://www.biomedcentral.com/bmcnurs/" 2002 "BIOMEDCENTRAL"
"68" "BioMed Central Ltd" "BMC Ophthalmology" "BMC Ophthalmol" "1471-2415" "http://www.biomedcentral.com/bmcophthalmol/" 2001 "BIOMEDCENTRAL"
"69" "BioMed Central Ltd" "BMC Oral Health" "BMC Oral Health" "1472-6831" "http://www.biomedcentral.com/bmcoralhealth/" 2001 "BIOMEDCENTRAL"
"70" "BioMed Central Ltd" "BMC Palliative Care" "BMC Palliat Care" "1472-684X" "http://www.biomedcentral.com/bmcpalliatcare/" 2002 "BIOMEDCENTRAL"
"71" "BioMed Central Ltd" "BMC Pediatrics" "BMC Pediatr" "1471-2431" "http://www.biomedcentral.com/bmcpediatr/" 2001 "BIOMEDCENTRAL"
"72" "BioMed Central Ltd" "BMC Pharmacology" "BMC Pharmacol" "1471-2210" "http://www.biomedcentral.com/bmcpharmacol/" 2001 "BIOMEDCENTRAL"
"73" "BioMed Central Ltd" "BMC Pharmacology and Toxicology" "BMC pharmacol toxicol" "2050-6511" "http://www.biomedcentral.com/bmcpharmacoltoxicol" 2001 "BIOMEDCENTRAL"
"74" "BioMed Central Ltd" "BMC Physiology" "BMC Physiol" "1472-6793" "http://www.biomedcentral.com/bmcphysiol/" 2001 "BIOMEDCENTRAL"
"75" "BioMed Central Ltd" "BMC Plant Biology" "BMC Plant Biol" "1471-2229" "http://www.biomedcentral.com/bmcplantbiol/" 2001 "BIOMEDCENTRAL"
"76" "BioMed Central Ltd" "BMC Pregnancy and Childbirth" "BMC Pregnancy Childbirth" "1471-2393" "http://www.biomedcentral.com/bmcpregnancychildbirth/" 2001 "BIOMEDCENTRAL"
"77" "BioMed Central Ltd" "BMC Proceedings" "BMC Proc" "1753-6561" "http://www.biomedcentral.com/bmcproc/" 2007 "BIOMEDCENTRAL"
"78" "BioMed Central Ltd" "BMC Psychiatry" "BMC Psychiatry" "1471-244X" "http://www.biomedcentral.com/bmcpsychiatry/" 2001 "BIOMEDCENTRAL"
"79" "BioMed Central Ltd" "BMC Psychology" "BMC Psychol" "2050-7283" "http://www.biomedcentral.com/bmcpsychol/" 2012 "BIOMEDCENTRAL"
"80" "BioMed Central Ltd" "BMC Public Health" "BMC Public Health" "1471-2458" "http://www.biomedcentral.com/bmcpublichealth/" 2001 "BIOMEDCENTRAL"
"81" "BioMed Central Ltd" "BMC Pulmonary Medicine" "BMC Pulm Med" "1471-2466" "http://www.biomedcentral.com/bmcpulmmed/" 2001 "BIOMEDCENTRAL"
"82" "BioMed Central Ltd" "BMC Research Notes" "BMC Res Notes" "1756-0500" "http://www.biomedcentral.com/bmcresnotes/" 2008 "BIOMEDCENTRAL"
"83" "BioMed Central Ltd" "BMC Sports Science, Medicine and Rehabilitation" "BMC Sports Sci Med Rehabil" "2052-1847" "http://biomedcentral.com/bmcsportsscimedrehabil/" 2013 "BIOMEDCENTRAL"
"84" "BioMed Central Ltd" "BMC Structural Biology" "BMC Struct Biol" "1472-6807" "http://www.biomedcentral.com/bmcstructbiol/" 2001 "BIOMEDCENTRAL"
"85" "BioMed Central Ltd" "BMC Surgery" "BMC Surg" "1471-2482" "http://www.biomedcentral.com/bmcsurg/" 2001 "BIOMEDCENTRAL"
"86" "BioMed Central Ltd" "BMC Systems Biology" "BMC Syst Biol" "1752-0509" "http://www.biomedcentral.com/bmcsystbiol/" 2007 "BIOMEDCENTRAL"
"87" "BioMed Central Ltd" "BMC Urology" "BMC Urol" "1471-2490" "http://www.biomedcentral.com/bmcurol/" 2001 "BIOMEDCENTRAL"
"88" "BioMed Central Ltd" "BMC Veterinary Research" "BMC Vet Res" "1746-6148" "http://www.biomedcentral.com/bmcvetres/" 2005 "BIOMEDCENTRAL"
"89" "BioMed Central Ltd" "BMC Women's Health" "BMC Womens Health" "1472-6874" "http://www.biomedcentral.com/bmcwomenshealth/" 2001 "BIOMEDCENTRAL"
"90" "BioMed Central Ltd" "Basic and Clinical Andrology" "Basic Clin Androl" "2051-4190" "http://www.bacandrology.com" 2013 "BIOMEDCENTRAL"
"91" "BioMed Central Ltd" "Behavioral and Brain Functions" "Behav Brain Funct" "1744-9081" "http://www.behavioralandbrainfunctions.com" 2005 "BIOMEDCENTRAL"
"92" "Beilstein-Institut" "Beilstein Journal of Organic Chemistry" "Beilstein J Org Chem" "1860-5397" "http://archive.biomedcentral.com/1860-5397/" 2005 "BIOMEDCENTRAL"
"93" "BioMed Central Ltd" "BioData Mining" "BioData Mining" "1756-0381" "http://www.biodatamining.org/" 2008 "BIOMEDCENTRAL"
"94" "BioMed Central Ltd" "BioMagnetic Research and Technology" "BioMag Res Technol" "1477-044X" "http://www.biomagres.com" 2003 "BIOMEDCENTRAL"
"95" "BioMed Central Ltd" "BioMedical Engineering OnLine" "BioMed Eng OnLine" "1475-925X" "http://www.biomedical-engineering-online.com" 2002 "BIOMEDCENTRAL"
"96" "BioMed Central Ltd" "BioPsychoSocial Medicine" "BioPsychoSocial Med" "1751-0759" "http://www.bpsmedicine.com" 2007 "BIOMEDCENTRAL"
"97" "Springer" "Biointerphases" "Biointerphases" "1559-4106" "http://www.biointerphases.com" 2011 "CHEMISTRY"
"98" "BioMed Central Ltd" "Biological Procedures Online" "Biol Proced Online" "1480-9222" "http://www.biologicalproceduresonline.com" 2009 "BIOMEDCENTRAL"
"99" "BioMed Central Ltd" "Biology Direct" "Biol Direct" "1745-6150" "http://www.biologydirect.com" 2006 "BIOMEDCENTRAL"
"100" "BioMed Central Ltd" "Biology of Mood & Anxiety Disorders" "Biol Mood Anxiety Disord" "2045-5380" "http://www.biolmoodanxietydisord.com" 2011 "BIOMEDCENTRAL"
"101" "BioMed Central Ltd" "Biology of Sex Differences" "Biol sex dif" "2042-6410" "http://www.bsd-journal.com" 2010 "BIOMEDCENTRAL"
"102" "BioMed Central Ltd" "Biomarker Research" "Biomark Res" "2050-7771" "http://www.biomarkerres.org" 2013 "BIOMEDCENTRAL"
"103" "BioMed Central Ltd" "Biomedical Digital Libraries" "Biomed Digit Libr" "1742-5581" "http://www.bio-diglib.com" 2004 "BIOMEDCENTRAL"
"104" "BioMed Central Ltd" "Biotechnology for Biofuels" "Biotechnol Biofuels" "1754-6834" "http://www.biotechnologyforbiofuels.com" 2008 "BIOMEDCENTRAL"
"105" "Springer" "Botanical Studies" "Bot Stud" "1999-3110" "http://www.as-botanicalstudies.com" 2013 "BASIC_SPRINGER"
"106" "BioMed Central Ltd" "Breast Cancer Research" "Breast Cancer Res" "1465-5411" "http://breast-cancer-research.com/" 1999 "BIOMEDCENTRAL"
"107" "BioMed Central Ltd" "Cancer & Metabolism" "Cancer Metab" "2049-3002" "http://www.cancerandmetabolism.com" 2012 "BIOMEDCENTRAL"
"108" "BioMed Central Ltd" "Cancer Cell International" "Cancer Cell Int" "1475-2867" "http://www.cancerci.com" 2001 "BIOMEDCENTRAL"
"109" "BioMed Central Ltd" "Carbon Balance and Management" "Carbon Balance Manage" "1750-0680" "http://www.cbmjournal.com" 2006 "BIOMEDCENTRAL"
"110" "BioMed Central Ltd" "Cardiovascular Diabetology" "Cardiovasc Diabetol" "1475-2840" "http://www.cardiab.com" 2002 "BIOMEDCENTRAL"
"111" "BioMed Central Ltd" "Cardiovascular Ultrasound" "Cardiovasc Ultrasound" "1476-7120" "http://www.cardiovascularultrasound.com" 2003 "BIOMEDCENTRAL"
"112" "BioMed Central Ltd" "Cases Journal" "Cases J" "1757-1626" "http://www.casesjournal.com" 2008 "BIOMEDCENTRAL"
"113" "BioMed Central Ltd" "Cell & Bioscience" "Cell Biosci" "2045-3701" "http://www.cellandbioscience.com" 2010 "BIOMEDCENTRAL"
"114" "BioMed Central Ltd" "Cell & Chromosome" "Cell Chromosome" "1475-9268" "http://www.cellandchromosome.com" 2002 "BIOMEDCENTRAL"
"115" "BioMed Central Ltd" "Cell Communication and Signaling" "Cell Commun Signal" "1478-811X" "http://www.biosignaling.com" 2003 "BIOMEDCENTRAL"
"116" "BioMed Central Ltd" "Cell Division" "Cell Div" "1747-1028" "http://www.celldiv.com" 2006 "BIOMEDCENTRAL"
"117" "BioMed Central Ltd" "Cell Regeneration" "Cell Regen" "2045-9769" "http://www.cellregenerationjournal.com" 2012 "BIOMEDCENTRAL"
"118" "BioMed Central Ltd" "Centrosome Research" "Centrosome Res" "2045-6093" "http://www.centrosomeresearch.com" 0 "n/a"
"119" "Chemistry Central Ltd" "Chemistry Central Journal" "Chemistry Central Journal" "1752-153X" "http://journal.chemistrycentral.com/" 2007 "BIOMEDCENTRAL"
"120" "BioMed Central Ltd" "Child and Adolescent Psychiatry and Mental Health" "Child Adolesc Psychiatry Ment Health" "1753-2000" "http://www.capmh.com" 2007 "BIOMEDCENTRAL"
"121" "BioMed Central Ltd" "Chinese Medicine" "Chin Med" "1749-8546" "http://www.cmjournal.org" 2006 "BIOMEDCENTRAL"
"122" "BioMed Central Ltd" "Chiropractic & Manual Therapies" "Chiropr Man Therap" "2045-709X" "http://www.chiromt.com" 1992 "BIOMEDCENTRAL"
"123" "BioMed Central Ltd" "Cilia" "Cilia" "2046-2530" "http://www.ciliajournal.com" 2012 "BIOMEDCENTRAL"
"124" "BioMed Central Ltd" "Clinical Epigenetics" "Clin Epigenetics" "1868-7083" "http://www.clinicalepigeneticsjournal.com" 2011 "BIOMEDCENTRAL"
"125" "BioMed Central Ltd" "Clinical Practice and Epidemiology in Mental Health" "Clin Pract Epidemiol Ment Health" "1745-0179" "http://www.cpementalhealth.com" 2005 "BIOMEDCENTRAL"
"126" "BioMed Central Ltd" "Clinical Proteomics" "Clin Proteomics" "1559-0275" "http://www.clinicalproteomicsjournal.com" 2011 "BIOMEDCENTRAL"
"127" "BioMed Central Ltd" "Clinical Sarcoma Research" "Clin Sarcoma Res" "2045-3329" "http://www.clinicalsarcomaresearch.com" 2010 "BIOMEDCENTRAL"
"128" "BioMed Central Ltd" "Clinical and Molecular Allergy" "Clin Mol Allergy" "1476-7961" "http://www.clinicalmolecularallergy.com" 2003 "BIOMEDCENTRAL"
"129" "BioMed Central Ltd" "Clinical and Translational Allergy" "Clin Transl Allergy" "2045-7022" "http://www.ctajournal.com" 2011 "BIOMEDCENTRAL"
"130" "Springer" "Clinical and Translational Medicine" "Clin Transl Med" "2001-1326" "http://www.clintransmed.com" 2012 "BIOMEDCENTRAL"
"131" "BioMed Central Ltd" "Comparative Hepatology" "Comp Hepatol" "1476-5926" "http://www.comparative-hepatology.com" 2002 "BIOMEDCENTRAL"
"132" "BioMed Central Ltd" "Conflict and Health" "Confl Health" "1752-1505" "http://www.conflictandhealth.com" 2007 "BIOMEDCENTRAL"
"133" "BioMed Central Ltd" "Cost Effectiveness and Resource Allocation" "Cost Eff Resour Alloc" "1478-7547" "http://www.resource-allocation.com" 2003 "BIOMEDCENTRAL"
"134" "BioMed Central Ltd" "Cough" "Cough" "1745-9974" "http://www.coughjournal.com" 2005 "BIOMEDCENTRAL"
"135" "BioMed Central Ltd" "Critical Care" "Crit Care" "1364-8535" "http://ccforum.com/" 1997 "BIOMEDCENTRAL"
"136" "Springer" "Critical Ultrasound Journal" "Crit Ultrasound J" "2036-7902" "http://www.criticalultrasoundjournal.com" 2011 "BASIC_SPRINGER"
"137" "BioMed Central Ltd" "CytoJournal" "Cytojournal" "1742-6413" "http://www.cytojournal.com" 2004 "BIOMEDCENTRAL"
"138" "BioMed Central Ltd" "DARU Journal of Pharmaceutical Sciences" "DARU" "2008-2231" "http://www.darujps.com" 2012 "BIOMEDCENTRAL"
"139" "BioMed Central Ltd" "Diabetology & Metabolic Syndrome" "Diabetol Metab Syndr" "1758-5996" "http://www.dmsjournal.com" 2009 "BIOMEDCENTRAL"
"140" "BioMed Central Ltd" "Diagnostic Pathology" "Diagn Pathol" "1746-1596" "http://www.diagnosticpathology.org" 2006 "BIOMEDCENTRAL"
"141" "BioMed Central Ltd" "Dynamic Medicine" "Dyn Med" "1476-5918" "http://www.dynamic-med.com" 2002 "BIOMEDCENTRAL"
"142" "Springer" "EJNMMI Research" "EJNMMI Res" "2191-219X" "http://www.ejnmmires.com" 2011 "BIOMEDCENTRAL"
"143" "BioMed Central Ltd" "EPMA Journal" "EPMA J" "1878-5085" "http://www.epmajournal.com" 2012 "BIOMEDCENTRAL"
"144" "Springer" "EURASIP Journal on Bioinformatics and Systems Biology" "EURASIP J Bioinform Syst Biol" "1687-4153" "http://bsb.eurasipjournals.com" 2011 "AMERICAN_PHYSICAL_SOCIETY"
"145" "BioMed Central Ltd" "Emerging Themes in Epidemiology" "Emerg Themes Epidemiol" "1742-7622" "http://www.ete-online.com" 2004 "BIOMEDCENTRAL"
"146" "BioMed Central Ltd" "Environmental Evidence" "Environ Evid" "2047-2382" "http://www.environmentalevidencejournal.org" 2011 "BIOMEDCENTRAL"
"147" "BioMed Central Ltd" "Environmental Health" "Environ Health" "1476-069X" "http://www.ehjournal.net" 2002 "BIOMEDCENTRAL"
"148" "Springer" "Environmental Sciences Europe" "Environ Sci Eur" "2190-4715" "http://www.enveurope.com" 2011 "BASIC_SPRINGER"
"149" "Springer" "Environmental Sciences Europe" "Environ Sci Eur" "2190-4715" "http://www.enveurope.com" 2011 "BIOMEDCENTRAL"
"150" "BioMed Central Ltd" "Epidemiologic Perspectives & Innovations" "Epidemiol Perspect Innov" "1742-5573" "http://www.epi-perspectives.com" 2004 "BIOMEDCENTRAL"
"151" "BioMed Central Ltd" "Epigenetics & Chromatin" "Epigenetics & Chromatin" "1756-8935" "http://www.epigeneticsandchromatin.com" 2008 "BIOMEDCENTRAL"
"152" "BioMed Central Ltd" "European Journal of Medical Research" "Eur J Med Res" "2047-783X" "http://www.eurjmedres.com" 2011 "BIOMEDCENTRAL"
"153" "BioMed Central Ltd" "EvoDevo" "EvoDevo" "2041-9139" "http://www.evodevojournal.com" 2010 "BIOMEDCENTRAL"
"154" "Springer" "Evolution: Education and Outreach" "Evol Educ Outreach" "1936-6434" "http://www.evolution-outreach.com" 2012 "AMERICAN_PSYCHOLOGICAL_ASSOCIATION"
"155" "BioMed Central Ltd" "Experimental & Translational Stroke Medicine" "Exp Transl Stroke Med" "2040-7378" "http://www.etsmjournal.com" 2009 "BIOMEDCENTRAL"
"156" "BioMed Central Ltd" "Experimental Hematology & Oncology" "Exp Hematol Oncol" "2162-3619" "http://www.ehoonline.org" 2012 "BIOMEDCENTRAL"
"157" "BioMed Central Ltd" "Extreme Physiology & Medicine" "extrem physiol med" "2046-7648" "http://www.extremephysiolmed.com" 2011 "BIOMEDCENTRAL"
"158" "BioMed Central Ltd" "Fibrogenesis & Tissue Repair" "Fibrogenesis Tissue Repair" "1755-1536" "http://www.fibrogenesis.com" 2008 "BIOMEDCENTRAL"
"159" "BioMed Central Ltd" "Filaria Journal" "Filaria J" "1475-2883" "http://www.filariajournal.com" 2002 "BIOMEDCENTRAL"
"160" "BioMed Central Ltd" "Flavour" "Flavour" "2044-7248" "http://www.flavourjournal.com" 2012 "BIOMEDCENTRAL"
"161" "BioMed Central Ltd" "Fluids and Barriers of the CNS" "Fluids Barriers CNS" "2045-8118" "http://www.fluidsbarrierscns.com" 2004 "BIOMEDCENTRAL"
"162" "BioMed Central Ltd" "Frontiers in Zoology" "Front Zool" "1742-9994" "http://www.frontiersinzoology.com" 2004 "BIOMEDCENTRAL"
"163" "BioMed Central Ltd" "Genetic Vaccines and Therapy" "Genet Vaccines Ther" "1479-0556" "http://www.gvt-journal.com" 2003 "BIOMEDCENTRAL"
"164" "BioMed Central Ltd" "Genetics Selection Evolution" "Genet Sel Evol" "1297-9686" "http://www.gsejournal.org" 1969 "BIOMEDCENTRAL"
"165" "BioMed Central Ltd" "Genome Biology" "Genome Biol" "1465-6906" "http://genomebiology.com" 2000 "BIOMEDCENTRAL"
"166" "BioMed Central Ltd" "Genome Integrity" "Genome Integr" "2041-9414" "http://www.genomeintegrity.com" 2010 "BIOMEDCENTRAL"
"167" "BioMed Central Ltd" "Genome Medicine" "Genome Med" "1756-994X" "http://genomemedicine.com" 2009 "BIOMEDCENTRAL"
"168" "Chemistry Central Ltd" "Geochemical Transactions" "Geochem Trans" "1467-4866" "http://www.geochemicaltransactions.com" 2000 "BIOMEDCENTRAL"
